repetition,tolerance,buffer_capacity_1,buffer_capacity_2,lambda_1_1,lambda_1_2,lambda_2,mu_1,mu_2,num_of_servers_1,num_of_servers_2,system_capacity_1,system_capacity_2,threshold_1,threshold_2,time_taken
90,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8258056640625
91,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8422887325286865
92,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.853341817855835
93,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8435111045837402
94,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8548879623413086
95,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8558833599090576
96,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8429300785064697
97,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8368988037109375
98,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8767192363739014
99,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8926448822021484
100,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8700833320617676
101,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8419668674468994
102,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8351082801818848
103,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8442513942718506
104,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.855978488922119
105,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8524892330169678
106,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8503928184509277
107,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.839514970779419
108,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8456203937530518
109,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.861473560333252
110,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8383326530456543
111,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.825878620147705
112,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.824842691421509
113,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8332931995391846
114,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.83831524848938
115,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8308022022247314
116,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,4.6747376918792725
117,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,4.469006538391113
118,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,4.705295085906982
119,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8359947204589844
